8,592,-1
31557,991,587,-1
31577,980,715,1
31594,985,578,1
31611,998,582,1
31629,1008,583,1
31648,1017,570,687,590,1
1,634,573,1
1,607,575,1
2,591,577,1
3,582,579,1
3,577,582,1
13,604,579,1
28,0,582,1
40,0,584,1
53,0,580,1
65,0,588,1
77,3,576,1
91,11,581,1
104,20,580,1
118,26,579,1
133,32,578,1
147,38,579,1
162,45,586,1
177,56,581,1
191,64,585,1
205,70,716,-1
222,67,586,-1
237,61,589,-1
252,53,585,-1
268,47,584,-1
283,35,586,-1
300,28,585,-1
315,21,588,-1
330,15,582,-1
346,8,584,-1
361,0,584,-1
375,0,584,-1
390,0,580,-1
404,0,583,-1
418,0,698,1
433,0,537,1
446,0,576,1
459,0,590,1
473,4,576,1
486,13,579,1
501,22,578,1
516,27,574,1
530,34,579,1
544,41,579,1
560,50,592,1
574,59,545,1
588,66,581,1
603,73,580,1
617,80,576,1
632,89,717,-1
648,86,583,-1
663,77,585,-1
678,68,589,-1
695,63,542,-1
710,57,585,-1
726,51,579,-1
741,45,587,-1
757,33,583,-1
773,27,585,-1
788,22,583,-1
803,15,583,-1
819,8,582,-1
834,0,715,1
847,3,576,1
861,11,584,1
875,20,581,1
890,26,578,1
905,33,576,1
919,39,576,1
933,46,581,1
948,57,583,1
963,65,582,1
977,71,585,1
992,79,576,1
1006,88,586,1
1022,95,581,1
1038,100,717,-1
1055,95,547,-1
1072,87,581,-1
1089,79,584,-1
1105,69,584,-1
1122,64,547,-1
1138,57,587,-1
1156,51,579,-1
1172,42,584,-1
1188,31,580,-1
1205,25,585,-1
1222,18,581,-1
1239,11,715,1
1254,19,577,1
1269,27,576,1
1285,34,578,1
1301,41,577,1
1316,52,591,1
1332,62,588,1
1347,69,579,1
1363,77,576,1
1379,85,590,1
1394,94,584,1
1410,100,580,1
1427,106,577,1
1443,112,718,-1
1461,104,581,-1
1478,97,589,-1
1496,89,587,-1
1512,82,584,-1
1528,71,586,-1
1545,66,587,-1
1562,59,585,-1
1579,53,583,-1
1595,47,584,-1
1611,35,585,-1
1629,28,584,-1
1645,21,713,1
1660,26,578,1
1676,33,579,1
1692,41,578,1
1708,51,584,1
1723,62,584,1
1738,69,578,1
1755,77,577,1
1770,86,587,1
1785,94,587,1
1801,100,576,1
1817,106,577,1
1835,113,577,1
1851,120,714,-1
1868,118,590,-1
1887,105,583,-1
1904,98,587,-1
1921,91,583,-1
1937,83,582,-1
1954,73,587,-1
1971,66,584,-1
1987,62,585,-1
2003,54,588,-1
2021,48,586,-1
2037,37,584,-1
2054,27,715,1
2069,33,578,1
2085,41,577,1
2101,53,586,1
2116,63,583,1
2131,70,581,1
2147,78,577,1
2163,87,590,1
2179,95,581,1
2194,101,575,1
2210,107,578,1
2228,114,576,1
2244,124,583,1
2260,133,717,-1
2278,128,583,-1
2296,119,583,-1
2314,108,587,-1
2331,100,583,-1
2349,92,586,-1
2366,85,580,-1
2382,75,586,-1
2399,67,586,-1
2415,62,586,-1
2433,54,585,-1
2449,48,585,-1
2465,37,711,1
2481,41,580,1
2497,51,591,1
2512,62,588,1
2528,69,578,1
2543,77,577,1
2560,85,584,1
2575,94,583,1
2590,99,578,1
2606,105,587,1
2623,113,576,1
2639,121,582,1
2656,131,544,1
2672,138,716,-1
2691,134,545,-1
2708,126,586,-1
2725,119,589,-1
2743,106,586,-1
2761,99,585,-1
2778,92,585,-1
2794,85,581,-1
2810,77,585,-1
2828,69,589,-1
2844,63,543,-1
2861,56,592,-1
2877,48,712,1
2893,57,581,1
2909,66,583,1
2924,74,581,1
2939,82,580,1
2956,92,579,1
2971,97,581,1
2987,104,580,1
3003,111,579,1
3020,119,580,1
